forecast_id,season_id,forecast_date,year,month,month_name,avg_temp_c,max_temp_c,min_temp_c,precip_mm,precip_probability_pct,humidity_pct,wind_speed_ms,wind_gust_ms,wind_direction,cloud_cover_pct,visibility_km,uv_index,dewpoint_c,pressure_hpa,weather_description,data_source,rain_risk
1,2,2026-04-12,2026,4,April,19.3,23.1,15.3,0.0,0,61,1.7,3.8,E,2,24.0,6.0,11.3,894,Few clouds,Weatherbit API,Low
2,2,2026-04-13,2026,4,April,20.3,26.2,13.9,0.0078125,20,49,1.7,3.7,SW,12,24.0,10.0,8.6,896,Few clouds,Weatherbit API,Low
3,2,2026-04-14,2026,4,April,21.2,26.5,15.7,0.03125,20,54,1.8,3.8,SSW,22,24.0,10.0,11.0,895,Scattered clouds,Weatherbit API,Low
4,2,2026-04-15,2026,4,April,21.7,26.8,16.9,0.0,0,54,1.9,4.0,SSW,6,24.0,10.0,11.6,893,Few clouds,Weatherbit API,Low
5,2,2026-04-16,2026,4,April,23.1,29.1,16.1,0.0468674,20,46,1.9,4.5,SSW,14,24.0,10.0,10.5,894,Few clouds,Weatherbit API,Low
6,2,2026-04-17,2026,4,April,22.1,31.0,17.6,0.0625,20,46,2.6,3.8,WSW,17,24.0,11.0,8.8,870,Few clouds,Weatherbit API,Low
7,2,2026-04-18,2026,4,April,23.6,30.2,19.0,0.125,20,34,2.9,3.0,SW,29,24.0,11.0,6.4,846,Scattered clouds,Weatherbit API,Low
8,2,2026-04-19,2026,4,April,24.5,31.9,19.2,0.0625,20,27,3.0,2.9,SSW,20,24.0,11.0,4.0,845,Few clouds,Weatherbit API,Low
9,2,2026-04-20,2026,4,April,25.3,33.3,18.3,0.0,0,23,3.0,3.1,WSW,6,24.0,11.0,1.8,844,Few clouds,Weatherbit API,Low
10,2,2026-04-21,2026,4,April,25.6,32.9,20.2,0.0,0,21,2.9,2.9,W,36,24.0,11.0,1.0,844,Scattered clouds,Weatherbit API,Low
11,2,2026-04-22,2026,4,April,20.1,24.3,18.3,0.8125,20,32,2.4,2.5,WSW,11,24.0,11.0,3.0,843,Few clouds,Weatherbit API,Low
12,2,2026-04-23,2026,4,April,21.8,28.4,16.0,0.5625,15,32,2.2,2.3,W,5,24.0,11.0,4.0,844,Few clouds,Weatherbit API,Low
13,2,2026-04-24,2026,4,April,15.6,20.4,11.5,19.2764,85,59,1.2,2.4,SW,33,19.3,11.0,6.5,805,Heavy rain,Weatherbit API,High
14,2,2026-04-25,2026,4,April,23.1,27.1,18.9,1.56836,35,69,1.3,3.6,WSW,19,24.0,0.0,17.0,896,Few clouds,Weatherbit API,Low
15,2,2026-04-26,2026,4,April,21.8,27.0,18.0,7.64551,70,77,1.2,3.2,S,37,23.3,11.0,17.5,893,Moderate rain,Weatherbit API,High
16,2,2026-04-27,2026,4,April,22.7,27.9,19.0,10.6602,80,78,1.3,3.5,S,22,24.0,11.0,18.4,891,Moderate rain,Weatherbit API,High
20,2,2026-04-28,2026,4,April,21.6,25.3,18.3,16.4062,85,83,1.0,3.0,SSE,43,18.0,10.0,18.5,891,Heavy rain,Weatherbit API,High
21,2,2026-04-29,2026,4,April,20.3,23.6,17.8,22.8854,90,84,1.1,3.0,SE,64,18.2,7.0,17.5,892,Heavy rain,Weatherbit API,High
22,2,2026-04-30,2026,4,April,19.6,22.2,16.2,2.82828,50,81,1.1,3.1,SSW,53,20.3,8.0,16.1,888,Light rain,Weatherbit API,Medium
23,2,2026-05-01,2026,5,May,17.4,20.8,15.6,2.125,40,68,1.6,1.6,SSW,64,23.0,11.0,11.3,845,Light rain,Weatherbit API,Medium
24,2,2026-05-02,2026,5,May,17.0,19.2,15.1,5.625,75,74,1.4,1.4,SSE,68,22.3,11.0,12.2,844,Light rain,Weatherbit API,High
25,2,2026-05-03,2026,5,May,15.8,20.4,13.9,10.875,80,80,1.5,1.4,SW,80,20.1,11.0,12.3,845,Moderate rain,Weatherbit API,High
26,2,2026-05-04,2026,5,May,16.1,18.7,14.1,24.0,90,77,2.2,2.3,WSW,47,18.4,11.0,11.9,846,Heavy rain,Weatherbit API,High
27,2,2026-05-05,2026,5,May,19.5,25.0,13.2,0.375,10,56,2.0,1.8,WSW,32,24.0,11.0,9.9,846,Scattered clouds,Weatherbit API,Low
28,2,2026-05-06,2026,5,May,15.5,17.8,13.3,7.875,80,74,3.8,4.2,NNW,56,23.8,11.0,10.7,844,Light rain,Weatherbit API,High
29,2,2026-05-07,2026,5,May,15.9,18.3,13.6,5.125,70,72,2.0,2.0,NNW,76,16.6,11.0,10.6,844,Light rain,Weatherbit API,High
30,2,2026-05-08,2026,5,May,10.7,12.2,9.3,11.574,85,84,1.2,2.0,NNW,69,15.4,11.0,8.0,764,Moderate rain,Weatherbit API,High
31,2,2026-05-09,2026,5,May,11.7,16.1,7.9,4.84579,70,73,1.3,1.7,NW,43,18.1,11.0,7.1,764,Light shower rain,Weatherbit API,High
32,2,2026-05-10,2026,5,May,10.7,14.2,7.7,11.9546,85,82,1.6,2.2,S,25,20.4,11.0,7.7,762,Moderate rain,Weatherbit API,High
304,2,2026-05-11,2026,5,May,10.2,12.9,7.8,13.0545,85,81,2.0,2.8,S,38,17.6,11.0,7.1,761,Moderate rain,Weatherbit API,High
